set	t_s	kind	node	sensor	note	ch	vel_emitted	dt_ms
pp	0.05452871322631836	ON	4	7	G4(67)	2	114	8.3
pp	0.05454587936401367	ON	2	7	G4(67)	3	115	6.6
pp	0.05455374717712402	ON	4	4	E4(64)	2	80	56.6
pp	0.16221857070922852	ON	2	4	E4(64)	3	91	34.9
pp	0.6366667747497559	ON	3	19	C3(48)	2	75	201.5
pp	0.689887523651123	ON	1	19	C3(48)	3	100	23.3
pp	0.6898996829986572	OFF	1	19	C3(48)	3	94	29.9
pp	0.958244800567627	ON	3	14	G2(43)	2	107	14.9
pp	0.9582548141479492	ON	1	14	G2(43)	3	109	13.3
pp	1.4897058010101318	ON	3	11	E2(40)	2	91	34.9
pp	2.0753448009490967	OFF	2	7	G4(67)	3	75	2359.0
pp	2.0753579139709473	OFF	2	4	E4(64)	3	75	1910.9
pp	2.1276259422302246	OFF	4	4	E4(64)	2	91	34.9
pp	2.127635955810547	OFF	4	7	G4(67)	2	75	319.8
pp	2.180630683898926	OFF	2	12	C5(72)	3	75	2780.5
pp	2.1806397438049316	OFF	4	12	C5(72)	2	91	34.9
pp	2.336512565612793	OFF	3	19	C3(48)	2	75	1147.8
pp	2.3365225791931152	OFF	3	11	E2(40)	2	75	866.3
pp	2.388051748275757	OFF	1	14	G2(43)	3	75	276.5
pp	2.3880977630615234	OFF	3	14	G2(43)	2	93	31.6
pp	4.317206621170044	ON	4	12	C5(72)	2	96	28.3
pp	4.735721826553345	ON	4	7	G4(67)	2	115	4.9
pp	5.063043832778931	ON	4	4	E4(64)	2	78	64.9
pp	5.385350704193115	ON	3	26	G3(55)	2	98	24.9
pp	5.70312762260437	ON	3	23	E3(52)	2	115	6.6
pp	6.077589750289917	ON	3	19	C3(48)	2	115	6.6
pp	6.456044673919678	ON	3	14	G2(43)	2	93	31.6
pp	7.788171768188477	OFF	3	19	C3(48)	2	75	1704.3
pp	7.78818154335022	OFF	4	12	C5(72)	2	94	29.9
pp	7.7881858348846436	OFF	4	7	G4(67)	2	75	154.9
pp	7.788189888000488	OFF	3	14	G2(43)	2	90	36.6
pp	7.840056657791138	OFF	3	23	E3(52)	2	77	68.3
pp	7.8400657176971436	OFF	3	26	G3(55)	2	89	38.3
pp	7.890902757644653	OFF	4	4	E4(64)	2	96	28.3
pp	8.15861988067627	ON	3	26	G3(55)	2	89	38.3
pp	8.318298816680908	ON	4	12	C5(72)	2	84	48.3
pp	8.525556802749634	ON	4	9	A4(69)	2	104	18.3
pp	8.577260732650757	ON	3	23	E3(52)	2	115	6.6
pp	8.685524940490723	ON	3	19	C3(48)	2	115	4.9
pp	8.736380815505981	ON	4	7	G4(67)	2	115	3.3
pp	8.89950180053711	ON	3	14	G2(43)	2	91	34.9
pp	8.953200817108154	ON	4	4	E4(64)	2	98	24.9
pp	9.757702827453613	OFF	3	19	C3(48)	2	75	1046.2
pp	9.808284759521484	OFF	3	14	G2(43)	2	85	44.9
pp	9.808294773101807	OFF	4	7	G4(67)	2	75	83.3
pp	9.808298587799072	OFF	3	23	E3(52)	2	79	59.9
pp	9.8083016872406	OFF	4	12	C5(72)	2	106	16.6
pp	9.808303833007812	OFF	4	9	A4(69)	2	103	19.9
pp	9.80830693244934	OFF	4	4	E4(64)	2	103	19.9
pp	9.863427639007568	OFF	3	26	G3(55)	2	98	24.9
ff	19.70311188697815	ON	2	12	C5(72)	3	115	6.6
ff	19.703128814697266	ON	2	4	E4(64)	3	115	6.6
ff	19.70313787460327	ON	1	7	C2(36)	3	115	1.6
ff	19.7031409740448	ON	1	19	C3(48)	3	115	1.6
ff	19.703144073486328	ON	1	18	B2(47)	3	115	4.9
ff	19.80976176261902	OFF	1	18	B2(47)	3	76	74.9
ff	20.02442502975464	OFF	1	7	C2(36)	3	109	13.3
ff	20.02443504333496	OFF	2	12	C5(72)	3	98	24.9
ff	20.024436950683594	OFF	2	4	E4(64)	3	92	33.3
ff	20.024439811706543	OFF	1	19	C3(48)	3	107	14.9
ff	20.495562076568604	ON	2	5	F4(65)	3	114	8.3
ff	20.548682689666748	ON	2	9	A4(69)	3	75	181.5
ff	20.5486958026886	ON	1	24	F3(53)	3	115	3.3
ff	20.655519008636475	OFF	2	9	A4(69)	3	97	26.6
ff	20.65552806854248	OFF	2	5	F4(65)	3	98	24.9
ff	20.655531883239746	OFF	1	24	F3(53)	3	97	26.6
ff	20.65553379058838	ON	2	9	A4(69)	3	115	4.9
ff	20.655536890029907	ON	2	5	F4(65)	3	115	4.9
ff	20.708459854125977	ON	1	24	F3(53)	3	115	4.9
ff	20.758819818496704	OFF	2	9	A4(69)	3	104	18.3
ff	20.75882887840271	OFF	2	5	F4(65)	3	101	21.6
ff	20.812297105789185	OFF	1	24	F3(53)	3	100	23.3
ff	20.81230902671814	ON	2	5	F4(65)	3	115	4.9
ff	20.812314987182617	ON	2	9	A4(69)	3	98	24.9
ff	20.866402864456177	ON	1	24	F3(53)	3	115	4.9
ff	20.920450925827026	OFF	2	9	A4(69)	3	100	23.3
ff	20.920464038848877	OFF	2	5	F4(65)	3	100	23.3
ff	20.97162890434265	ON	2	9	A4(69)	3	115	6.6
ff	20.971638917922974	ON	2	5	F4(65)	3	115	3.3
ff	20.971642017364502	ON	2	0	C4(60)	3	111	11.6
ff	21.1820068359375	OFF	1	24	F3(53)	3	92	33.3
ff	21.18201994895935	OFF	2	0	C4(60)	3	75	211.5
ff	21.237179040908813	OFF	2	9	A4(69)	3	96	28.3
ff	21.291553735733032	OFF	2	5	F4(65)	3	86	43.3
ff	22.406503915786743	ON	1	2	G1(31)	3	107	14.9
ff	22.461602926254272	OFF	1	2	G1(31)	3	78	66.6
ff	22.619680881500244	ON	1	28	A3(57)	3	115	6.6
ff	22.6196928024292	ON	2	7	G4(67)	3	115	3.3
ff	22.61969804763794	ON	2	5	F4(65)	3	114	8.3
ff	22.619701862335205	ON	1	2	G1(31)	3	115	4.9
ff	22.619704961776733	ON	1	14	G2(43)	3	115	3.3
ff	22.6700918674469	OFF	2	7	G4(67)	3	107	14.9
ff	22.670100927352905	OFF	2	5	F4(65)	3	97	26.6
ff	22.722163915634155	OFF	1	14	G2(43)	3	106	16.6
ff	22.72217297554016	OFF	1	28	A3(57)	3	92	33.3
ff	22.722175121307373	OFF	1	2	G1(31)	3	98	24.9
ff	22.774976015090942	ON	2	7	G4(67)	3	115	3.3
ff	22.774986028671265	ON	1	28	A3(57)	3	115	4.9
ff	22.774988889694214	ON	1	2	G1(31)	3	114	8.3
ff	22.774991989135742	ON	1	14	G2(43)	3	115	3.3
ff	22.827415943145752	OFF	2	7	G4(67)	3	103	19.9
ff	22.878684043884277	OFF	1	28	A3(57)	3	92	33.3
ff	22.878692865371704	OFF	1	14	G2(43)	3	98	24.9
ff	22.878698110580444	OFF	1	2	G1(31)	3	100	23.3
ff	22.92990279197693	ON	1	28	A3(57)	3	109	13.3
ff	22.929908990859985	ON	2	7	G4(67)	3	115	1.6
ff	22.929911851882935	ON	1	2	G1(31)	3	114	8.3
ff	22.929913997650146	ON	1	14	G2(43)	3	115	1.6
ff	22.929916858673096	ON	2	3	D#4(63)	3	115	6.6
ff	22.981180906295776	OFF	2	3	D#4(63)	3	104	18.3
ff	22.981189966201782	OFF	2	7	G4(67)	3	107	14.9
ff	23.033336877822876	OFF	1	28	A3(57)	3	92	33.3
ff	23.033349990844727	OFF	1	14	G2(43)	3	88	39.9
ff	23.033353090286255	OFF	1	2	G1(31)	3	96	28.3
ff	23.086267948150635	ON	1	28	A3(57)	3	115	4.9
ff	23.0862820148468	ON	2	7	G4(67)	3	115	3.3
ff	23.086285829544067	ON	2	0	C4(60)	3	114	8.3
ff	23.086289882659912	ON	1	2	G1(31)	3	114	8.3
ff	23.086293697357178	ON	1	0	F1(29)	3	115	4.9
ff	23.086296796798706	ON	1	14	G2(43)	3	115	3.3
ff	23.08630108833313	ON	1	12	F2(41)	3	115	3.3
ff	23.138861894607544	OFF	1	12	F2(41)	3	112	9.9
ff	23.138871908187866	OFF	2	7	G4(67)	3	109	13.3
ff	23.138875007629395	OFF	2	0	C4(60)	3	77	69.9
ff	23.193110942840576	OFF	1	14	G2(43)	3	87	41.6
ff	23.193119049072266	OFF	1	28	A3(57)	3	94	29.9
ff	23.193121910095215	OFF	1	0	F1(29)	3	87	41.6
ff	23.193126916885376	OFF	1	2	G1(31)	3	97	26.6
ff	23.247941970825195	ON	2	7	G4(67)	3	115	3.3
ff	23.247951984405518	ON	1	28	A3(57)	3	112	9.9
ff	23.247955083847046	ON	1	2	G1(31)	3	115	6.6
ff	23.247957706451416	ON	1	14	G2(43)	3	115	4.9
ff	23.30087900161743	OFF	2	7	G4(67)	3	109	13.3
ff	23.35267686843872	OFF	1	14	G2(43)	3	103	19.9
ff	23.352689027786255	OFF	1	28	A3(57)	3	91	34.9
ff	23.3526930809021	OFF	1	2	G1(31)	3	94	29.9
ff	23.404427766799927	ON	1	2	G1(31)	3	104	18.3
ff	23.40443778038025	ON	2	7	G4(67)	3	115	1.6
ff	23.404440879821777	ON	1	28	A3(57)	3	115	6.6
ff	23.404444932937622	ON	1	14	G2(43)	3	115	3.3
ff	23.404447078704834	ON	2	0	C4(60)	3	111	11.6
ff	23.404449939727783	ON	2	3	D#4(63)	3	115	3.3
ff	23.459574937820435	OFF	2	3	D#4(63)	3	109	13.3
ff	23.728055953979492	OFF	1	2	G1(31)	3	94	29.9
ff	23.72806406021118	OFF	2	0	C4(60)	3	75	304.8
ff	23.72806692123413	OFF	2	7	G4(67)	3	96	28.3
ff	23.728068828582764	OFF	1	14	G2(43)	3	97	26.6
ff	23.728070974349976	OFF	1	28	A3(57)	3	85	44.9
ff	24.154741048812866	ON	2	12	C5(72)	3	114	8.3
ff	24.154754877090454	ON	2	10	A#4(70)	3	115	6.6
ff	24.15476107597351	ON	2	8	G#4(68)	3	115	6.6
ff	24.15476679801941	ON	2	11	B4(71)	3	115	4.9
ff	24.15477204322815	ON	1	9	D2(38)	3	115	6.6
ff	24.209913969039917	ON	1	7	C2(36)	3	111	11.6
ff	24.20992398262024	ON	1	10	D#2(39)	3	114	8.3
ff	24.261352062225342	ON	1	21	D3(50)	3	115	4.9
ff	24.261362075805664	OFF	2	10	A#4(70)	3	96	28.3
ff	24.261364936828613	OFF	2	11	B4(71)	3	79	59.9
ff	24.261367797851562	ON	1	19	C3(48)	3	115	3.3
ff	24.26137685775757	OFF	2	8	G#4(68)	3	91	34.9
ff	24.261379957199097	OFF	2	12	C5(72)	3	90	36.6
ff	24.26138186454773	ON	1	16	A2(45)	3	104	18.3
ff	24.312533855438232	ON	1	14	G2(43)	3	85	44.9
ff	24.312541007995605	OFF	1	10	D#2(39)	3	75	118.2
ff	24.312544107437134	OFF	1	7	C2(36)	3	86	43.3
ff	24.312546968460083	ON	2	5	F4(65)	3	115	3.3
ff	24.312548875808716	ON	2	2	D4(62)	3	107	14.9
ff	24.363712072372437	ON	2	4	E4(64)	3	115	4.9
ff	24.36372208595276	ON	2	10	A#4(70)	3	112	9.9
ff	24.363725900650024	ON	2	12	C5(72)	3	111	11.6
ff	24.36372995376587	ON	2	8	G#4(68)	3	112	9.9
ff	24.363733053207397	ON	2	7	G4(67)	3	115	3.3
ff	24.363735914230347	OFF	1	9	D2(38)	3	96	28.3
ff	24.363739013671875	OFF	1	14	G2(43)	3	81	54.9
ff	24.363740921020508	OFF	1	16	A2(45)	3	76	73.3
ff	24.36374306678772	OFF	1	19	C3(48)	3	77	69.9
ff	24.41794991493225	OFF	2	7	G4(67)	3	111	11.6
ff	24.417958974838257	OFF	1	21	D3(50)	3	101	21.6
