Designator,Mid X,Mid Y,Rotation,Layer
C1,24.455,-39.885,180.0,top
C10,62.12,-39.32,270.0,top
C101,42.43,-42.81,270.0,top
C102,43.44,-42.81,270.0,top
C105,42.17,-13.05,270.0,top
C106,42.15,-11.04,90.0,top
C107,58.25,-22.26,270.0,top
C108,58.25,-20.27,90.0,top
C13,35.7495,-31.669,270.0,top
C14,40.24,-28.949075,0.0,top
C15,28.915,-25.37,180.0,top
C16,40.91,-24.78,0.0,top
C17,37.02,-16.1375,0.0,top
C18,34.72,-16.0625,180.0,top
C19,29.4455,-21.855239,180.0,top
C2,32.695,-30.61,180.0,top
C20,28.455,-28.76,180.0,top
C21,36.26,-20.13,90.0,top
C22,45.995,-36.24,0.0,top
C3,32.695,-31.59,180.0,top
C4,24.155,-34.835,180.0,top
C5,27.7379,-26.3756,180.0,top
C58,15.99,-6.4,180.0,top
C6,30.525,-30.9984,90.0,top
C7,34.23,-18.99,90.0,top
C8,40.8545,-26.90776,0.0,top
C9,62.12,-37.33,90.0,top
CR1,26.15,-45.39,180.0,top
D10,26.55,-10.2,180.0,top
D11,28.62,-6.7025,270.0,top
D12,38.96,-4.765,0.0,top
D2,20.65,-26.35,270.0,top
D3,13.87,-26.26,270.0,top
FB1,25.36,-42.54,90.0,top
H101,64.5,-45.4,0.0,top
H102,4.5,-45.4,0.0,top
H103,64.5,-4.5,0.0,top
H104,4.5,-4.5,0.0,top
J1,54.9651,-24.944493,270.0,top
J102,48.965,-45.66,0.0,top
J103,56.93,-45.67,0.0,top
J3,34.21,-45.77,0.0,top
J4,50.65,-11.035,180.0,top
J6,33.45,-4.0,180.0,top
L1,32.38,-33.16,180.0,top
L2,27.28,-35.81,90.0,top
Q106,17.09,-3.605,0.0,top
R1,27.68,-47.23,0.0,top
R10,56.678699,-32.56,90.0,top
R101,31.84,-19.39,270.0,top
R102,30.83,-19.36,270.0,top
R103,23.205,-37.885,90.0,top
R104,20.17,-37.9,90.0,top
R105,21.19,-37.9,270.0,top
R106,22.2,-37.9,90.0,top
R11,35.17,-33.64,90.0,top
R119,17.93,-4.75,0.0,top
R12,34.18,-33.64,90.0,top
R120,17.45,-2.18,180.0,top
R121,11.98,-3.45,0.0,top
R13,55.61,-32.56,270.0,top
R17,46.69,-32.44,90.0,top
R18,35.23,-18.08,90.0,top
R19,44.555,-26.4,180.0,top
R2,36.7,-38.82,270.0,top
R225,15.97,-5.32,0.0,top
R233,44.555,-25.35,180.0,top
R234,52.62,-32.11,180.0,top
R235,52.62,-33.12,180.0,top
R236,26.7525,-8.85,180.0,top
R237,27.365852,-5.5,90.0,top
R3,36.57,-35.98,90.0,top
R4,47.71,-32.45,90.0,top
R5,21.975,-26.625,90.0,top
R6,30.515,-32.92,90.0,top
R7,45.6,-32.42,270.0,top
R8,15.24,-26.53,90.0,top
R9,54.5,-32.55,270.0,top
SW1,52.14,-37.36,180.0,top
U1,34.765,-25.97,180.0,top
U101,43.66,-40.44,180.0,top
U108,14.63,-2.94,0.0,top
U3,42.0,-34.2522,270.0,top
U4,34.349998,-38.925,270.0,top
U5,59.4,-38.6211,270.0,top
U6,24.83,-37.61,90.0,top
Y1,35.97,-13.1625,180.0,top
