Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,10uF,
"C101, C103, C105, C107, C13, C14, C15, C16, C19, C20, C21, C22, C5, C8",0402,14,100nF,
"C102, C104, C106, C108",0402,4,1μF,
"C17, C18",0402,2,15pF,
"C2, C3, C6, C7",0402,4,4.7uF,
C58,0402,1,1nF,
"CR1, CR101, CR5",D_SOD-323,3,H7VHD3UA,C20615807
"D1, D3",0402,2,LED GREEN,C130722
"D10, D11",D_SOD-523,2,D_TVS,C20617921
D2,0402,1,LED RED,C130719
FB1,0603,1,FerriteBead,C1002
J1,CONN18x1_FH34SRJ-18S-0.5SH50_HIR,1,FH34SRJ-18S-0.5SH(50),C3169386
J102,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST_SH RS-485_1,C160404
J103,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST_SH RS-485_2,C160404
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J4,TF-015_corrected,1,Micro_SD_Card,C113206
J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,C160404
L1,L_pol_2016,1,3.3u,C42411119
Q106,WM02N08F,1,WM02N08F,C3030941
R1,0805,1,1MΩ,
"R10, R119, R121",0402,3,10 kΩ,
"R101, R19, R233, R235",0402,4,22Ω,
"R102, R11, R12, R225, R234, R6",0402,6,33Ω,
"R103, R104",0402,2,4.7kΩ,
"R105, R17",0402,2,100kΩ,
"R106, R107",0402,2,430Ω,
R120,0402,1,68 Ω,
R13,0402,1,49.9Ω,
"R18, R7",0402,2,1kΩ,
"R2, R3",0402,2,5.1 kΩ,C25905
"R236, R237",0402,2,2.2kΩ,
"R4, R8",0402,2,10kΩ,
R5,0402,1,22kΩ,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,C5504987
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U101,PSON50P200X300X50-9N,1,APS6404L-3SQR-ZR,C3040877
U102,QFN_24RGTR_TEX,1,THVD1424RGTR,
U108,VCNT2025X01_VIS,1,VCNT2025X01,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C146799
U3,WSON_128JVPIQ_WIN,1,W25Q128JVPIQ,C190862
U4,DQA0010A,1,TPD4E05U06DQAR,C138714
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
