Designator,Mid X,Mid Y,Rotation,Layer
C1,22.077872,-42.44,0.0,top
C101,42.43,-42.81,270.0,top
C102,43.44,-42.81,270.0,top
C103,62.17,-39.373415,270.0,top
C104,63.22,-39.373234,270.0,top
C105,42.17,-13.05,270.0,top
C106,42.15,-11.04,90.0,top
C107,58.25,-22.26,270.0,top
C108,58.25,-20.27,90.0,top
C13,35.7495,-31.669,270.0,top
C14,40.24,-28.949075,0.0,top
C15,28.915,-25.37,180.0,top
C16,40.91,-24.78,0.0,top
C17,37.162,-16.567,0.0,top
C18,34.862,-16.492,180.0,top
C19,29.4455,-21.855239,180.0,top
C2,32.695,-30.61,180.0,top
C20,28.455,-28.76,180.0,top
C21,36.26,-20.13,90.0,top
C22,45.995,-36.24,0.0,top
C3,32.695,-31.59,180.0,top
C4,18.08,-29.65,180.0,top
C5,27.7379,-26.3756,180.0,top
C58,15.99,-6.4,180.0,top
C6,30.525,-30.9984,90.0,top
C7,34.23,-18.99,90.0,top
C8,40.8545,-26.90776,0.0,top
CR1,26.0,-46.66,180.0,top
CR101,42.26,-47.36,270.0,top
CR5,39.3,-4.76,0.0,top
D1,23.21205,-25.5195,0.0,top
D10,26.55,-10.2,180.0,top
D11,28.62,-6.7025,270.0,top
D2,20.8996,-25.4395,0.0,top
D3,25.37675,-38.275,270.0,top
FB1,21.96,-44.59,180.0,top
J1,54.9651,-24.944493,270.0,top
J102,48.965,-45.66,0.0,top
J103,57.65,-45.705593,0.0,top
J3,34.127731,-45.195,0.0,top
J4,50.65,-11.035,180.0,top
J6,33.45,-4.0,180.0,top
L1,32.38,-33.16,180.0,top
Q106,17.09,-3.605,0.0,top
R1,20.88,-47.08,0.0,top
R10,56.678699,-32.56,90.0,top
R101,32.77,-20.36,270.0,top
R102,31.768656,-20.36,270.0,top
R103,54.548699,-32.56,270.0,top
R104,55.638699,-32.56,270.0,top
R105,47.71,-32.44,90.0,top
R106,56.13,-40.11,180.0,top
R107,62.18,-42.0,180.0,top
R11,35.17,-33.64,90.0,top
R119,17.93,-4.75,0.0,top
R12,34.18,-33.64,90.0,top
R120,17.45,-2.18,180.0,top
R121,11.98,-3.45,0.0,top
R13,27.0,-20.72,270.0,top
R17,46.69,-32.44,90.0,top
R18,35.23,-18.08,90.0,top
R19,44.555,-26.4,180.0,top
R2,36.7,-38.82,270.0,top
R225,15.97,-5.32,0.0,top
R233,44.555,-25.35,180.0,top
R234,52.62,-32.11,180.0,top
R235,52.62,-33.12,180.0,top
R236,26.7525,-8.85,180.0,top
R237,27.365852,-5.5,90.0,top
R3,36.7,-35.98,90.0,top
R4,23.19705,-26.5795,180.0,top
R5,20.92,-26.58,180.0,top
R6,30.515,-32.92,90.0,top
R7,45.6,-32.42,270.0,top
R8,26.39075,-38.2775,90.0,top
SW1,52.14,-37.36,180.0,top
U1,34.765,-25.97,180.0,top
U101,43.66,-40.44,180.0,top
U102,59.398389,-38.613352,270.0,top
U108,14.63,-2.94,0.0,top
U2,18.83,-36.39,270.0,top
U3,42.0,-34.2522,270.0,top
U4,34.349998,-38.925,270.0,top
Y1,36.112,-13.592,180.0,top
