Designator,Mid X,Mid Y,Rotation,Layer
C1,24.31,-42.32,180.0,top
C103,62.17,-39.373415,270.0,top
C104,63.22,-39.373234,270.0,top
C105,50.55,-21.22,270.0,top
C106,50.53,-19.21,90.0,top
C13,35.7495,-31.669,270.0,top
C14,40.18,-29.12,0.0,top
C15,28.915,-25.37,180.0,top
C16,40.91,-24.78,0.0,top
C17,38.026624,-17.512397,270.0,top
C18,38.101624,-15.212397,90.0,top
C19,29.4455,-21.855239,180.0,top
C2,32.695,-30.61,180.0,top
C20,28.455,-28.76,180.0,top
C21,36.275,-20.725,90.0,top
C3,32.695,-31.59,180.0,top
C4,22.900002,-37.175,180.0,top
C5,27.7379,-26.3756,180.0,top
C6,30.525,-30.9984,90.0,top
C7,34.2,-19.175,90.0,top
C8,40.8545,-26.90776,0.0,top
CR1,26.0,-46.66,180.0,top
D10,25.875,-20.325,90.0,top
D11,21.35,-27.35,270.0,top
D12,19.99,-19.08,0.0,top
D3,20.125,-32.5475,270.0,top
FB1,26.83,-43.1,90.0,top
J101,18.25,-23.5,270.0,top
J102,47.86,-45.665,0.0,top
J103,56.99,-45.665593,0.0,top
J3,34.127731,-45.725,0.0,top
J4,57.925,-25.325,90.0,top
L1,32.38,-33.16,180.0,top
L2,26.340001,-38.240002,90.0,top
R1,40.29,-45.79,270.0,top
R101,32.77,-20.36,270.0,top
R102,31.768656,-20.36,270.0,top
R103,22.309999,-40.159998,90.0,top
R104,19.289999,-40.159998,90.0,top
R105,20.3,-40.16,270.0,top
R106,21.309999,-40.159998,90.0,top
R11,35.17,-33.64,90.0,top
R12,34.18,-33.64,90.0,top
R18,36.325,-16.2,90.0,top
R19,44.225,-26.875,180.0,top
R2,36.7,-38.82,270.0,top
R233,44.225,-25.825,180.0,top
R236,31.275,-17.0,180.0,top
R237,31.29,-18.85,180.0,top
R3,36.7,-35.98,90.0,top
R6,30.515,-32.92,90.0,top
R7,38.66,-31.01,0.0,top
R8,21.51,-32.83,90.0,top
U1,34.765,-25.97,180.0,top
U102,59.398389,-38.613352,270.0,top
U4,34.349998,-38.925,270.0,top
U5,23.890001,-39.910001,90.0,top
Y1,41.001624,-16.462397,90.0,top
