Designator,Mid X,Mid Y,Rotation,Layer
C1,23.56,-42.869998,180.0,top
C103,62.17,-39.373415,270.0,top
C104,63.22,-39.373234,270.0,top
C105,42.17,-13.05,270.0,top
C106,42.15,-11.04,90.0,top
C13,35.7495,-31.669,270.0,top
C14,40.18,-29.12,0.0,top
C15,28.915,-25.37,180.0,top
C16,40.91,-24.78,0.0,top
C17,37.162,-16.567,0.0,top
C18,34.862,-16.492,180.0,top
C19,29.4455,-21.855239,180.0,top
C2,32.695,-30.61,180.0,top
C20,28.455,-28.76,180.0,top
C21,36.26,-20.13,90.0,top
C3,32.695,-31.59,180.0,top
C4,23.040001,-37.564998,180.0,top
C5,27.7379,-26.3756,180.0,top
C6,30.525,-30.9984,90.0,top
C7,34.23,-18.99,90.0,top
C8,40.8545,-26.90776,0.0,top
CR1,26.0,-46.66,180.0,top
CR101,49.81,-39.46,0.0,top
CR5,39.3,-4.76,0.0,top
D10,26.55,-10.2,180.0,top
D11,28.62,-6.7025,270.0,top
D3,20.246,-30.9575,270.0,top
FB1,26.87,-43.65,90.0,top
J101,33.45,-4.0,180.0,top
J102,48.965,-45.66,0.0,top
J103,57.65,-45.705593,0.0,top
J104,65.035,-31.245,90.0,top
J3,34.127731,-45.195,0.0,top
J4,50.65,-11.035,180.0,top
L1,32.38,-33.16,180.0,top
L2,26.48,-38.63,90.0,top
R1,41.03,-45.805,270.0,top
R101,32.77,-20.36,270.0,top
R102,31.768656,-20.36,270.0,top
R103,20.01,-40.53,270.0,top
R104,22.24,-40.52,270.0,top
R105,21.2,-40.53,90.0,top
R11,35.17,-33.64,90.0,top
R12,34.18,-33.64,90.0,top
R18,35.23,-18.08,90.0,top
R19,44.555,-26.4,180.0,top
R2,36.7,-38.82,270.0,top
R233,44.555,-25.35,180.0,top
R236,26.7525,-8.85,180.0,top
R237,27.365852,-5.5,90.0,top
R3,36.7,-35.98,90.0,top
R6,30.515,-32.92,90.0,top
R7,38.66,-31.01,0.0,top
R8,21.26,-30.96,90.0,top
U1,34.765,-25.97,180.0,top
U102,59.398389,-38.613352,270.0,top
U4,34.349998,-38.925,270.0,top
U5,24.03,-40.299999,90.0,top
Y1,36.112,-13.592,180.0,top
