Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF,C1779
C10,0402,1,1μF,
"C13, C14, C15, C16, C19, C20, C21, C22, C23, C24, C25, C26, C27, C5, C8, C9",0402,16,100nF,
"C1301, C1302, C1303, C1801, C1802, C1803, C2301, C2302, C2303, C2801, C2802, C2803, C3301, C3302, C3303, C3801, C3802, C3803, C401, C402, C403, C801, C802, C803",0402,24,1 uF,
"C1304, C1305, C1306, C1307, C1804, C1805, C1806, C1807, C2304, C2305, C2306, C2307, C2804, C2805, C2806, C2807, C3304, C3305, C3306, C3307, C3804, C3805, C3806, C404, C405, C406, C407, C804, C805, C806, C807",0402,31,1 nF,
"C17, C18",0402,2,15pF,
"C2, C3, C6, C7",0402,4,4.7uF,
C4,0805,1,22uF,C45783
CR1,SOD-323_L1.8-W1.3-LS2.5-RD,1,PTVSHC3D7VU,C110753
D3,0402,1,LED GREEN,C130722
FB1,0603,1,FerriteBead,C14709
"J1, J2",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,JST_SH,C160404
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
L1,L_pol_2016,1,3.3u,C42411119
L2,1008,1,1 uH,C2041556
"Q1001, Q1101, Q1201, Q1401, Q1501, Q1601, Q1701, Q1901, Q2001, Q2101, Q2201, Q2401, Q2501, Q2601, Q2701, Q2901, Q3001, Q301, Q3101, Q3201, Q3401, Q3501, Q3601, Q3701, Q4301, Q4401, Q4501, Q501, Q601, Q701, Q901",SOT-23,31,AO3400A,C20917
R1,0402,1,0 Ω,
"R1001, R1101, R1201, R1401, R1501, R1601, R1701, R1901, R2001, R2101, R2201, R2401, R2501, R2601, R2701, R2901, R3001, R301, R3101, R3201, R3401, R3501, R3601, R3701, R4301, R4401, R4501, R501, R601, R701, R901",0402,31,100 kΩ,
"R1002, R1102, R1202, R1402, R1502, R1602, R1702, R1902, R2002, R2102, R2202, R2402, R2502, R2602, R2702, R2902, R3002, R302, R3102, R3202, R3402, R3502, R3602, R3702, R4302, R4402, R4502, R502, R602, R702, R902",0402,31,68 Ω,
"R1003, R1103, R1203, R1403, R1503, R1603, R1703, R1903, R2003, R2103, R2203, R2403, R2503, R2603, R2703, R2903, R3003, R303, R3103, R3203, R3403, R3503, R3603, R3703, R4303, R4403, R4503, R503, R603, R703, R903",0402,31,4.7 kΩ,
"R102, R8",0402,2,10kΩ,
R103,0402,1,100kΩ,
R104,0402,1,300kΩ,
R105,0402,1,150kΩ,
"R11, R12, R6",0402,3,33Ω,
"R13, R14, R19, R20",0402,4,22Ω,
"R18, R7",0402,2,1kΩ,
"R2, R3",0402,2,5.1 kΩ,C25905
"R4, R5",0402,2,120 Ω,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354_60QFN,C41378174
"U1001, U1101, U1201, U1401, U1501, U1601, U1701, U1901, U2001, U2101, U2201, U2401, U2501, U2601, U2701, U2901, U3001, U301, U3101, U3201, U3401, U3501, U3601, U3701, U4301, U4401, U4501, U501, U601, U701, U901",VCNT2025X01_VIS,31,VCNT2025X01,
"U1301, U1801, U2301, U2801, U3301, U3801, U401, U801",WQFN16_RTE_TEX,8,TLA2518IRTER,C1855741
U4,DQA0010A,1,TPD4E05U06DQAR,C138714
U5,QFN_24RGTR_TEX,1,THVD1424RGTR,
U6,SOT-563_DRL0006A,1,TPS62A0569ADRLR,C53151500
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
