Designator,Mid X,Mid Y,Rotation,Layer
C1,10.825,-17.075,90.0,top
C10,161.6972,-19.955063,270.0,top
C13,204.963031,-17.955887,315.0,top
C1301,127.256401,-10.48,180.0,top
C1302,127.266401,-11.53,180.0,top
C1303,130.7,-13.83,0.0,top
C1304,126.196401,-7.62,180.0,top
C1305,129.606401,-6.76,90.0,top
C1306,131.0064,-6.76,90.0,top
C1307,134.216401,-9.43,0.0,top
C14,207.475,-13.95,0.0,top
C15,195.15,-19.5,225.0,top
C16,203.650797,-9.345603,45.0,top
C17,191.075,-13.050001,90.0,top
C18,191.0,-15.35,270.0,top
C1801,175.270001,-10.48,180.0,top
C1802,175.280001,-11.53,180.0,top
C1803,178.310001,-13.82,270.0,top
C1804,174.210001,-7.62,180.0,top
C1805,177.620001,-6.76,90.0,top
C1806,179.02,-6.76,90.0,top
C1807,181.925,-9.45,0.0,top
C19,193.660449,-15.373416,225.0,top
C2,202.054348,-19.366918,225.0,top
C20,198.551038,-20.332827,225.0,top
C21,197.47,-9.87,135.0,top
C22,14.175,-24.55,0.0,top
C23,61.5,-24.25,0.0,top
C2301,226.828,-10.39,180.0,top
C2302,226.838,-11.44,180.0,top
C2303,229.13,-13.73,180.0,top
C2304,226.110801,-8.080001,180.0,top
C2305,229.520801,-7.220001,90.0,top
C2306,230.9208,-7.220001,90.0,top
C2307,234.130801,-8.92,0.0,top
C24,127.25,-23.25,0.0,top
C25,323.77,-23.95,0.0,top
C26,260.1,-23.3,0.0,top
C27,210.35,-23.95,0.0,top
C2801,286.9,-10.48,180.0,top
C2802,286.91,-11.53,180.0,top
C2803,290.296001,-13.82,270.0,top
C2804,286.196001,-7.62,180.0,top
C2805,289.606001,-6.76,90.0,top
C2806,291.006,-6.76,90.0,top
C2807,294.216001,-9.5,0.0,top
C3,202.747312,-20.059883,225.0,top
C3301,340.5892,-10.48,180.0,top
C3302,340.5992,-11.53,180.0,top
C3303,343.07,-13.44,180.0,top
C3304,339.5292,-7.62,180.0,top
C3305,342.9392,-6.76,90.0,top
C3306,344.339199,-6.76,90.0,top
C3307,347.5492,-9.5,0.0,top
C3801,361.43,-9.2061,180.0,top
C3802,361.44,-10.2561,180.0,top
C3803,359.66,-12.775001,180.0,top
C3804,364.225,-8.775,90.0,top
C3805,366.1,-11.05,90.0,top
C3806,366.12,-13.77,270.0,top
C4,15.875,-16.775,90.0,top
C401,20.590001,-10.48,180.0,top
C402,20.600001,-11.53,180.0,top
C403,23.630001,-13.82,270.0,top
C404,19.530001,-7.62,180.0,top
C405,22.940001,-6.76,90.0,top
C406,24.34,-6.76,90.0,top
C407,27.550001,-9.5,0.0,top
C5,195.873938,-20.195117,225.0,top
C6,199.271038,-21.022827,225.0,top
C7,195.231038,-11.272827,180.0,top
C8,204.891627,-10.902238,45.0,top
C801,73.923201,-10.48,180.0,top
C802,73.933201,-11.53,180.0,top
C803,76.963201,-13.82,270.0,top
C804,72.863201,-7.62,180.0,top
C805,76.273201,-6.76,90.0,top
C806,77.6732,-6.76,90.0,top
C807,80.883201,-9.4,0.0,top
C9,161.695,-17.7661,90.0,top
CR1,7.25,-16.0,90.0,top
D3,51.65675,-8.24,270.0,top
FB1,11.4,-19.65,0.0,top
H1,-1.45,-8.825,0.0,top
H10,402.39,4.0,0.0,top
H11,389.47,4.0,0.0,top
H12,378.79,-22.8,0.0,top
H13,50.0,-22.8,0.0,top
H14,248.4,-22.8,0.0,top
H15,106.55,-22.8,0.0,top
H16,378.31,4.0,0.0,top
H17,312.4,-22.8,0.0,top
H18,364.97,-22.8,0.0,top
H2,402.35,-22.8,0.0,top
H3,389.74,-22.8,0.0,top
H3801,396.425,-9.6,0.0,top
H3802,371.65,-9.6,0.0,top
H3803,384.0,-9.6,0.0,top
H4,10.32,4.0,0.0,top
H5,88.93,4.0,0.0,top
H6,155.21,4.0,0.0,top
H7,221.74,4.0,0.0,top
H8,289.06,4.0,0.0,top
H9,350.225,4.0,0.0,top
J1,32.975,-20.8,270.0,top
J2,348.325,-22.825,90.0,top
J3,-1.84,-19.22,270.0,top
JP1,38.925,-20.05,90.0,top
JP2,339.65,-20.75,180.0,top
JP4,211.625,-15.0,180.0,top
L1,203.634731,-21.392779,225.0,top
L2,14.9,-19.9,0.0,top
Q1001,74.3665,-3.05,0.0,top
Q1101,87.6998,-3.05,0.0,top
Q1201,101.0331,-3.05,0.0,top
Q1401,114.3664,-3.05,0.0,top
Q1501,127.6997,-3.05,0.0,top
Q1601,141.033,-3.05,0.0,top
Q1701,154.3663,-3.05,0.0,top
Q1901,167.699599,-3.05,0.0,top
Q2001,181.032899,-3.05,0.0,top
Q2101,194.366199,-3.05,0.0,top
Q2201,207.699499,-3.05,0.0,top
Q2401,221.0328,-3.05,0.0,top
Q2501,234.3661,-3.05,0.0,top
Q2601,247.6994,-3.05,0.0,top
Q2701,261.0327,-3.05,0.0,top
Q2901,274.366,-3.05,0.0,top
Q3001,287.6993,-3.05,0.0,top
Q301,7.7,-3.05,0.0,top
Q3101,301.0326,-3.05,0.0,top
Q3201,314.3659,-3.05,0.0,top
Q3401,327.699199,-3.05,0.0,top
Q3501,341.032499,-3.05,0.0,top
Q3601,354.365799,-3.05,0.0,top
Q3701,355.21,-7.0,180.0,top
Q4301,376.875,-7.5,270.0,top
Q4401,390.25,-7.42,270.0,top
Q4501,402.55,-7.48,180.0,top
Q501,21.0333,-3.05,0.0,top
Q601,34.3666,-3.05,0.0,top
Q701,47.6999,-3.05,0.0,top
Q901,61.0332,-3.05,0.0,top
R1,2.585,-13.025,0.0,top
R1001,77.0465,-3.5,90.0,top
R1002,72.3665,-1.65,180.0,top
R1003,67.4665,-3.4,90.0,top
R102,194.711038,-13.332827,225.0,top
R103,12.825,-15.825,0.0,top
R104,12.825,-13.825,0.0,top
R105,12.825,-14.825,180.0,top
R11,205.94697,-19.759363,135.0,top
R1101,90.3798,-3.5,90.0,top
R1102,85.6998,-1.65,180.0,top
R1103,80.7998,-3.4,90.0,top
R12,205.246935,-20.459398,135.0,top
R1201,103.7131,-3.5,90.0,top
R1202,99.0331,-1.65,180.0,top
R1203,94.133099,-3.4,90.0,top
R13,200.75,-8.4,315.0,top
R14,207.871038,-10.852827,180.0,top
R1401,117.0464,-3.5,90.0,top
R1402,112.3664,-1.65,180.0,top
R1403,107.4664,-3.4,90.0,top
R1501,130.3797,-3.5,90.0,top
R1502,125.6997,-1.65,180.0,top
R1503,120.7997,-3.4,90.0,top
R1601,143.713,-3.5,90.0,top
R1602,139.033,-1.65,180.0,top
R1603,134.133,-3.4,90.0,top
R1701,157.0463,-3.5,90.0,top
R1702,152.3663,-1.65,180.0,top
R1703,147.466299,-3.4,90.0,top
R18,192.138,-14.352001,270.0,top
R19,193.991038,-17.842827,45.0,top
R1901,170.379599,-3.5,90.0,top
R1902,165.699599,-1.65,180.0,top
R1903,160.799599,-3.4,90.0,top
R2,5.13,-21.78593,180.0,top
R20,159.27,-15.092263,90.0,top
R2001,183.712899,-3.5,90.0,top
R2002,179.032899,-1.65,180.0,top
R2003,174.132899,-3.4,90.0,top
R2101,197.046199,-3.5,90.0,top
R2102,192.366199,-1.65,180.0,top
R2103,187.05,-2.9,0.0,top
R2201,210.379499,-3.5,90.0,top
R2202,205.699499,-1.65,180.0,top
R2203,200.4,-2.92,0.0,top
R2401,223.7128,-3.5,90.0,top
R2402,219.0328,-1.65,180.0,top
R2403,214.1328,-3.4,90.0,top
R2501,237.0461,-3.5,90.0,top
R2502,232.3661,-1.65,180.0,top
R2503,227.4661,-3.4,90.0,top
R2601,250.3794,-3.5,90.0,top
R2602,245.6994,-1.65,180.0,top
R2603,240.7994,-3.4,90.0,top
R2701,263.7127,-3.5,90.0,top
R2702,259.0327,-1.65,180.0,top
R2703,253.61,-2.92,0.0,top
R2901,277.046,-3.5,90.0,top
R2902,272.366,-1.65,180.0,top
R2903,267.466,-3.4,90.0,top
R3,6.875,-21.3,90.0,top
R3001,290.3793,-3.5,90.0,top
R3002,285.6993,-1.65,180.0,top
R3003,280.7993,-3.4,90.0,top
R301,10.38,-3.5,90.0,top
