Designator,Mid X,Mid Y,Rotation,Layer
C1,260.763775,-20.830726,270.0,top
C10,163.39,-23.99,180.0,top
C13,204.841993,-18.95306,315.0,top
C1301,127.256401,-10.48,180.0,top
C1302,127.266401,-11.53,180.0,top
C1303,130.7,-13.83,0.0,top
C1304,126.196401,-7.62,180.0,top
C1305,129.606401,-6.76,90.0,top
C1306,131.0064,-6.76,90.0,top
C1307,134.216401,-9.43,0.0,top
C14,206.309411,-14.42,45.0,top
C15,194.96,-20.43,225.0,top
C16,203.529759,-10.342776,45.0,top
C17,190.1675,-13.28,90.0,top
C18,190.0925,-15.579999,270.0,top
C1801,175.270001,-10.48,180.0,top
C1802,175.280001,-11.53,180.0,top
C1803,178.310001,-13.82,270.0,top
C1804,174.210001,-7.62,180.0,top
C1805,177.620001,-6.76,90.0,top
C1806,179.02,-6.76,90.0,top
C1807,182.230001,-9.5,0.0,top
C19,193.539411,-16.370589,225.0,top
C2,201.93331,-20.364091,225.0,top
C20,198.43,-21.33,225.0,top
C21,197.043666,-10.432776,135.0,top
C22,214.65,-19.7942,90.0,top
C2301,226.828,-10.39,180.0,top
C2302,226.838,-11.44,180.0,top
C2303,229.13,-13.73,180.0,top
C2304,226.110801,-8.080001,180.0,top
C2305,229.520801,-7.220001,90.0,top
C2306,230.9208,-7.220001,90.0,top
C2307,234.130801,-8.92,0.0,top
C2801,286.9,-10.48,180.0,top
C2802,286.91,-11.53,180.0,top
C2803,290.296001,-13.82,270.0,top
C2804,286.196001,-7.62,180.0,top
C2805,289.606001,-6.76,90.0,top
C2806,291.006,-6.76,90.0,top
C2807,294.216001,-9.5,0.0,top
C3,202.626274,-21.057056,225.0,top
C3301,340.5892,-10.48,180.0,top
C3302,340.5992,-11.53,180.0,top
C3303,343.07,-13.44,180.0,top
C3304,339.5292,-7.62,180.0,top
C3305,342.9392,-6.76,90.0,top
C3306,344.339199,-6.76,90.0,top
C3307,347.5492,-9.5,0.0,top
C3801,380.05,-7.83,180.0,top
C3802,380.06,-8.88,180.0,top
C3803,378.28,-11.398901,180.0,top
C4,276.65,-20.25,270.0,top
C401,20.590001,-10.48,180.0,top
C402,20.600001,-11.53,180.0,top
C403,23.630001,-13.82,270.0,top
C404,19.530001,-7.62,180.0,top
C405,22.940001,-6.76,90.0,top
C406,24.34,-6.76,90.0,top
C407,27.550001,-9.5,0.0,top
C5,195.683938,-21.125117,225.0,top
C6,199.15,-22.02,225.0,top
C7,195.11,-12.27,180.0,top
C8,204.770589,-11.899411,45.0,top
C801,73.923201,-10.48,180.0,top
C802,73.933201,-11.53,180.0,top
C803,76.963201,-13.82,270.0,top
C804,72.863201,-7.62,180.0,top
C805,76.273201,-6.76,90.0,top
C806,77.6732,-6.76,90.0,top
C807,80.883201,-9.4,0.0,top
C9,165.578963,-23.9878,0.0,top
CR1,257.703775,-21.800726,0.0,top
CR2,10.19,-15.11,90.0,top
D3,49.0,-18.8675,270.0,top
FB1,257.793775,-19.892854,0.0,top
J1,8.44,-21.07,270.0,top
J2,378.03,-20.9,90.0,top
J3,249.025806,-20.297275,0.0,top
L1,203.513693,-22.389952,225.0,top
Q1001,74.3665,-3.05,0.0,top
Q1101,87.6998,-3.05,0.0,top
Q1201,101.0331,-3.05,0.0,top
Q1401,114.3664,-3.05,0.0,top
Q1501,127.6997,-3.05,0.0,top
Q1601,141.033,-3.05,0.0,top
Q1701,154.3663,-3.05,0.0,top
Q1901,167.699599,-3.05,0.0,top
Q2001,181.032899,-3.05,0.0,top
Q2101,194.366199,-3.05,0.0,top
Q2201,207.699499,-3.05,0.0,top
Q2401,221.0328,-3.05,0.0,top
Q2501,234.3661,-3.05,0.0,top
Q2601,247.6994,-3.05,0.0,top
Q2701,261.0327,-3.05,0.0,top
Q2901,274.366,-3.05,0.0,top
Q3001,287.6993,-3.05,0.0,top
Q301,7.7,-3.05,0.0,top
Q3101,301.0326,-3.05,0.0,top
Q3201,314.3659,-3.05,0.0,top
Q3401,327.699199,-3.05,0.0,top
Q3501,341.032499,-3.05,0.0,top
Q3601,354.365799,-3.05,0.0,top
Q3701,367.699099,-3.05,0.0,top
Q4301,381.0324,-3.05,0.0,top
Q4401,390.25,-7.42,270.0,top
Q4501,402.55,-7.48,180.0,top
Q501,21.0333,-3.05,0.0,top
Q601,34.3666,-3.05,0.0,top
Q701,47.6999,-3.05,0.0,top
Q901,61.0332,-3.05,0.0,top
R1,255.953775,-16.770726,270.0,top
R1001,77.0465,-3.5,90.0,top
R1002,72.3665,-1.65,180.0,top
R1003,67.4665,-3.4,90.0,top
R101,24.31,-22.75,270.0,top
R102,194.59,-14.33,225.0,top
R11,205.825932,-20.756536,135.0,top
R1101,90.3798,-3.5,90.0,top
R1102,85.6998,-1.65,180.0,top
R1103,80.7998,-3.4,90.0,top
R12,205.125897,-21.456571,135.0,top
R1201,103.7131,-3.5,90.0,top
R1202,99.0331,-1.65,180.0,top
R1203,94.133099,-3.4,90.0,top
R13,201.33,-9.23,225.0,top
R14,207.75,-11.85,180.0,top
R1401,117.0464,-3.5,90.0,top
R1402,112.3664,-1.65,180.0,top
R1403,107.4664,-3.4,90.0,top
R1501,130.3797,-3.5,90.0,top
R1502,125.6997,-1.65,180.0,top
R1503,120.7997,-3.4,90.0,top
R1601,143.713,-3.5,90.0,top
R1602,139.033,-1.65,180.0,top
R1603,134.133,-3.4,90.0,top
R17,215.71,-15.08246,90.0,top
R1701,157.0463,-3.5,90.0,top
R1702,152.3663,-1.65,180.0,top
R1703,147.466299,-3.4,90.0,top
R18,191.2305,-14.582,270.0,top
R19,193.87,-18.84,45.0,top
R1901,170.379599,-3.5,90.0,top
R1902,165.699599,-1.65,180.0,top
R1903,160.799599,-3.4,90.0,top
R2,251.598075,-13.922275,270.0,top
R20,168.46,-21.59,0.0,top
R2001,183.712899,-3.5,90.0,top
R2002,179.032899,-1.65,180.0,top
R2003,174.132899,-3.4,90.0,top
R2101,197.046199,-3.5,90.0,top
R2102,192.366199,-1.65,180.0,top
R2103,187.466199,-3.4,90.0,top
R2201,210.379499,-3.5,90.0,top
R2202,205.699499,-1.65,180.0,top
R2203,200.799498,-3.4,90.0,top
R2401,223.7128,-3.5,90.0,top
R2402,219.0328,-1.65,180.0,top
R2403,214.1328,-3.4,90.0,top
R2501,237.0461,-3.5,90.0,top
R2502,232.3661,-1.65,180.0,top
R2503,227.4661,-3.4,90.0,top
R2601,250.3794,-3.5,90.0,top
R2602,245.6994,-1.65,180.0,top
R2603,240.7994,-3.4,90.0,top
R2701,263.7127,-3.5,90.0,top
R2702,259.0327,-1.65,180.0,top
R2703,254.132699,-3.4,90.0,top
R2901,277.046,-3.5,90.0,top
R2902,272.366,-1.65,180.0,top
R2903,267.466,-3.4,90.0,top
R3,250.549775,-12.180226,180.0,top
R3001,290.3793,-3.5,90.0,top
R3002,285.6993,-1.65,180.0,top
R3003,280.7993,-3.4,90.0,top
R301,10.38,-3.5,90.0,top
R302,5.7,-1.65,180.0,top
R303,6.15,-6.32,90.0,top
R3101,303.7126,-3.5,90.0,top
R3102,299.0326,-1.65,180.0,top
R3103,294.1326,-3.4,90.0,top
R3201,317.0459,-3.5,90.0,top
